game_id,filename,bytes,n_frames,gameId_field
895516131,battle_895516131.json,114770,245,895516131
895516132,battle_895516132.json,166245,357,895516132
895516293,battle_895516293.json,271746,595,895516293
895516294,battle_895516294.json,287914,625,895516294
895516338,battle_895516338.json,176333,379,895516338
895516339,battle_895516339.json,107381,229,895516339
895516353,battle_895516353.json,216011,455,895516353
895516354,battle_895516354.json,193357,405,895516354
895516386,battle_895516386.json,285650,609,895516386
895516387,battle_895516387.json,263395,559,895516387
895516405,battle_895516405.json,215498,465,895516405
895516406,battle_895516406.json,239716,519,895516406
895516429,battle_895516429.json,160803,347,895516429
895516430,battle_895516430.json,123100,263,895516430
895516458,battle_895516458.json,335137,729,895516458
895516459,battle_895516459.json,390836,845,895516459
895516506,battle_895516506.json,436483,831,895516506
895516507,battle_895516507.json,171087,321,895516507
895516548,battle_895516548.json,276896,579,895516548
895516549,battle_895516549.json,265344,561,895516549
895516579,battle_895516579.json,247597,525,895516579
895516580,battle_895516580.json,276334,585,895516580
895516619,battle_895516619.json,413719,867,895516619
895516620,battle_895516620.json,337304,705,895516620
895516671,battle_895516671.json,306127,657,895516671
895516672,battle_895516672.json,261296,565,895516672
895516723,battle_895516723.json,296974,565,895516723
895516724,battle_895516724.json,190427,363,895516724
895516866,battle_895516866.json,313422,619,895516866
895516867,battle_895516867.json,303563,603,895516867
895516997,battle_895516997.json,117985,253,895516997
895516998,battle_895516998.json,130456,281,895516998
895538593,battle_895538593.json,122260,249,895538593
895538594,battle_895538594.json,121629,247,895538594
895563375,battle_895563375.json,293304,639,895563375
895563376,battle_895563376.json,280037,611,895563376
895564107,battle_895564107.json,206511,449,895564107
895564108,battle_895564108.json,418732,915,895564108
895564219,battle_895564219.json,146751,279,895564219
895564220,battle_895564220.json,252242,479,895564220
895564269,battle_895564269.json,185428,405,895564269
895564270,battle_895564270.json,161615,349,895564270
895564451,battle_895564451.json,159219,347,895564451
895564452,battle_895564452.json,156818,343,895564452
895564569,battle_895564569.json,289834,631,895564569
895564570,battle_895564570.json,257545,561,895564570
895564742,battle_895564742.json,159467,307,895564742
895564743,battle_895564743.json,131323,251,895564743
895564845,battle_895564845.json,275898,531,895564845
895564846,battle_895564846.json,180353,347,895564846
895564865,battle_895564865.json,179621,387,895564865
895564866,battle_895564866.json,129350,281,895564866
895564885,battle_895564885.json,322936,685,895564885
895564886,battle_895564886.json,364068,775,895564886
895564944,battle_895564944.json,359314,733,895564944
895564945,battle_895564945.json,298003,607,895564945
895564993,battle_895564993.json,101528,223,895564993
895564994,battle_895564994.json,123847,271,895564994
895565100,battle_895565100.json,187099,409,895565100
895565101,battle_895565101.json,172425,379,895565101
895565242,battle_895565242.json,171580,359,895565242
895565243,battle_895565243.json,172033,363,895565243
895565258,battle_895565258.json,210739,461,895565258
895565259,battle_895565259.json,207301,455,895565259
895565304,battle_895565304.json,262366,567,895565304
895565305,battle_895565305.json,327505,709,895565305
895565360,battle_895565360.json,138950,265,895565360
895565361,battle_895565361.json,206481,391,895565361
895565373,battle_895565373.json,383815,825,895565373
895565374,battle_895565374.json,361382,789,895565374
895565437,battle_895565437.json,223218,481,895565437
895565438,battle_895565438.json,201869,435,895565438
895565632,battle_895565632.json,471569,1001,895565632
895565633,battle_895565633.json,194581,411,895565633
895565755,battle_895565755.json,300409,633,895565755
895565756,battle_895565756.json,299382,627,895565756
895565850,battle_895565850.json,280069,605,895565850
895565851,battle_895565851.json,349124,761,895565851
895566003,battle_895566003.json,302371,663,895566003
895566004,battle_895566004.json,294707,645,895566004
895566071,battle_895566071.json,234206,511,895566071
895566072,battle_895566072.json,356313,775,895566072
895566140,battle_895566140.json,273673,563,895566140
895566141,battle_895566141.json,305312,625,895566141
895566196,battle_895566196.json,155843,339,895566196
895566197,battle_895566197.json,240610,517,895566197
895566245,battle_895566245.json,107930,227,895566245
895566246,battle_895566246.json,125596,263,895566246
895566278,battle_895566278.json,312457,645,895566278
895566279,battle_895566279.json,321074,659,895566279
895566342,battle_895566342.json,157510,331,895566342
895566343,battle_895566343.json,271074,569,895566343
895566398,battle_895566398.json,389891,823,895566398
895566399,battle_895566399.json,328156,695,895566399
895566472,battle_895566472.json,204443,429,895566472
895566473,battle_895566473.json,308304,647,895566473
895566594,battle_895566594.json,343723,739,895566594
895566595,battle_895566595.json,255973,551,895566595
895566650,battle_895566650.json,153921,333,895566650
895566651,battle_895566651.json,85944,187,895566651
895566668,battle_895566668.json,167675,367,895566668
895566669,battle_895566669.json,203014,443,895566669
895566739,battle_895566739.json,190457,361,895566739
895566740,battle_895566740.json,237817,451,895566740
895566770,battle_895566770.json,323464,707,895566770
895566771,battle_895566771.json,187611,415,895566771
895566901,battle_895566901.json,329690,711,895566901
895566902,battle_895566902.json,368039,793,895566902
895566942,battle_895566942.json,322115,693,895566942
895566943,battle_895566943.json,343437,743,895566943
895566979,battle_895566979.json,191204,409,895566979
895566980,battle_895566980.json,177534,387,895566980
895567104,battle_895567104.json,147489,315,895567104
895567105,battle_895567105.json,121336,261,895567105
895567197,battle_895567197.json,338175,735,895567197
895567198,battle_895567198.json,352232,767,895567198
895567331,battle_895567331.json,207608,451,895567331
895567332,battle_895567332.json,242269,519,895567332
895567456,battle_895567456.json,323432,695,895567456
895567457,battle_895567457.json,453763,979,895567457
895567536,battle_895567536.json,220766,473,895567536
895567537,battle_895567537.json,179128,385,895567537
895567588,battle_895567588.json,205599,437,895567588
895567589,battle_895567589.json,271095,577,895567589
895567632,battle_895567632.json,141091,297,895567632
895567633,battle_895567633.json,224926,473,895567633
895567686,battle_895567686.json,103707,221,895567686
895567687,battle_895567687.json,119516,259,895567687
895567728,battle_895567728.json,128372,279,895567728
895567729,battle_895567729.json,116613,249,895567729
895567935,battle_895567935.json,285539,617,895567935
895567936,battle_895567936.json,442606,949,895567936
895601170,battle_895601170.json,190819,415,895601170
895601171,battle_895601171.json,186476,403,895601171
895608294,battle_895608294.json,121757,265,895608294
895608295,battle_895608295.json,116480,255,895608295
895608328,battle_895608328.json,188276,405,895608328
895608329,battle_895608329.json,244558,531,895608329
895608393,battle_895608393.json,212286,457,895608393
895608394,battle_895608394.json,193836,419,895608394
895608407,battle_895608407.json,377053,819,895608407
895608408,battle_895608408.json,243048,529,895608408
895608436,battle_895608436.json,246514,539,895608436
895608437,battle_895608437.json,187625,407,895608437
895608619,battle_895608619.json,161744,351,895608619
895608620,battle_895608620.json,158467,345,895608620
895608700,battle_895608700.json,309907,671,895608700
895608701,battle_895608701.json,285597,621,895608701
895608754,battle_895608754.json,320971,693,895608754
895608755,battle_895608755.json,316017,677,895608755
895608793,battle_895608793.json,277824,601,895608793
895608794,battle_895608794.json,265566,571,895608794
895608842,battle_895608842.json,189257,401,895608842
895608843,battle_895608843.json,156050,333,895608843
895608865,battle_895608865.json,163003,357,895608865
895608866,battle_895608866.json,143965,317,895608866
895608931,battle_895608931.json,253511,485,895608931
895608932,battle_895608932.json,357345,681,895608932
895609004,battle_895609004.json,137220,293,895609004
895609005,battle_895609005.json,134973,291,895609005
895609020,battle_895609020.json,179913,395,895609020
895609021,battle_895609021.json,263744,577,895609021
895609111,battle_895609111.json,235974,497,895609111
895609112,battle_895609112.json,188682,397,895609112
895609145,battle_895609145.json,223065,487,895609145
895609146,battle_895609146.json,210811,459,895609146
895609165,battle_895609165.json,299648,649,895609165
895609166,battle_895609166.json,222781,485,895609166
895609194,battle_895609194.json,290428,595,895609194
895609195,battle_895609195.json,359122,733,895609195
895609219,battle_895609219.json,144904,315,895609219
895609220,battle_895609220.json,213090,461,895609220
895609257,battle_895609257.json,241227,533,895609257
895609258,battle_895609258.json,236051,517,895609258
895609294,battle_895609294.json,229402,481,895609294
895609295,battle_895609295.json,291356,613,895609295
895609341,battle_895609341.json,226296,479,895609341
895609342,battle_895609342.json,121255,259,895609342
